"PID";"Original tittel"
"074A534C-9368-4FA4-B170-1389EF59DA8D";"Centro de História da Sociedade e da Cultura"
"074B0540-E3D0-4711-B561-62B9EE1FB4F9";"Newfoundland Studies"
"07823789-57DE-4C6D-8C6C-328390F3615A";"Il Mulino"
"07FE8E33-B96C-4F94-A811-F0F70E109B0F";"Srednja Europa"
"080DFB0A-05B3-441D-B8C6-F4E8EA28FE96";"Electrochemical Society"
"08132029-CD1B-4F59-9B89-1E8E0A0A3DBE";"The Yorkshire Dialect Society"
"0834D2FB-62D8-45B6-AE1E-F632CA55FB8E";"Virtus InterPress"
"084623A2-AF7D-490C-851E-14BC67C6BB31";"Edition Sigma"
"08474A95-C38A-4761-8016-DBED8EBB84C3";"California Classical Studies"
"085A488D-15FF-4567-BE7A-8747FFBC2B00";"University of Florida"
"0883E4EE-C4B2-4F4C-B4AD-EFEFE164CB23";"IT-Universitetet i København"
"08F9CC08-3C4D-4D7C-90C0-5BD5F8258D99";"Academic Studies Press"
"091BA225-3D03-4BB3-B69C-8C7003653D3B";"Wydawnictwo Naukowe Uniwersytetu Mikolaja Kopernika"
"091CB9C5-5659-4571-8D11-FD0E08B649F0";"IRED"
"09306494-D939-4203-BB16-49494EE7AE92";"Universitetssenteret på Svalbard"
"09368527-529F-491D-AF25-8B0A7A0A0653";"Aufbau-Verlag"
"095E17A2-E717-4BBA-BFBC-368EC78B599D";"Présence Africaine"
"0985DF2B-3EF8-400A-8BC1-B26EB6519131";"Otava Publishing Company Ltd."
"0986CE07-0A41-41AF-A5EE-AC9FCD6468E0";"CMYK Studio Poligrafii i Reklamy"
"09875A43-FF00-483B-BF07-A84928ADCA62";"Ordfront förlag"
"098C05BF-608C-4C2E-93E5-CA29D0C81F4D";"Edizioni Charta"
"098E9131-3D3F-4DA2-A315-C9472D141E18";"Science Publishers Inc."
"099142DE-A035-4307-9491-30B0AC4BD067";"Ustav pro ceskou literaturu"
"099AF8D0-4A19-40BF-BD2F-7648D6F2CDD2";"Abstrakt forlag"
"09AC8DC1-DDC6-4A11-BA6F-EB8C7CD7349C";"Editorial Comares"
"09C4C5ED-5BBA-4477-B673-F90C50120263";"UCT Press"
"09C7520F-2978-433B-91C2-FE39477810F2";"Selja forlag"
"09D8AE97-61B6-4A9A-88A7-78E3A83E4BE8";"SuviSoft Oy Ltd"
"09DD944A-9B44-4B92-BD6D-8E232D51E388";"Kubon & Sagner Verlag Otto Sagner"
"0A15D856-C2E2-46B2-8D52-A9BB4DF774F0";"Pan American Health Organization (PAHO)"
"0A56A675-6A2A-4DD9-9121-62C948E58A7E";"NISPAcee Press"
"0A9086EC-ADC8-4144-8D7E-C5829FF394A8";"Irish Manuscripts Commission"
"0A945F0B-1CE8-4744-8A9D-3CA484036FE2";"Acta Universitatis Matthaei Belii"
"0AAB7FC3-B22E-4AAC-BBF9-F429A320342C";"Almqvist & Wiksell"
"0AB22E41-69B2-4657-9F1D-944736315946";"Wagner College"
"0ACEC1EC-0153-401D-816D-6894F48E57B8";"Climepsi Editores"
"0AE21A30-4BC8-453B-8035-EC5F0C9651F5";"African Centre for the Constructive Resolution of Disputes"
"0AE235DF-B844-424D-8CED-A2D90980DE25";"Bristol Phoenix Press"
"0AE5791A-272A-47D2-967E-44EB724BD55E";"Diamond Scientific Publishing"
"0AEAAE6C-D45A-406E-8055-2B66D53670E9";"Angelo Longo Editore"
"0B0A8D85-D003-4847-9BC4-F74CB8B5F809";"International Conference on Connected Smart Cities"
"0B2E0C4A-924D-4FAF-B7CC-408D57D6623C";"STM Books"
"0B31D594-FE6E-4DE8-8DAA-EB1E777D1102";"Balkema"
"0B94B035-F4BF-47FF-9B15-3031929F89A4";"Klett-Cotta"
"0BA22367-66F4-44AA-9AA2-6279C0D6BA1A";"Kasparek Verlag"
"0BA2C2EC-292C-41B9-A825-1D3B54974622";"Ravan Press"
"0BB872E3-E462-4313-9B9F-4C26C045DD4F";"Ugo Mursia Editore"
"0BC67213-B797-4A67-A591-5435BB922E48";"OLKC. Organizatioal Learning, Knowledge & Capabilities"
"0C079353-7B63-4399-BF93-438E7AAD0A88";"Oficyna Wydawnicza Branta"
"0C0FAE3F-C43F-477F-B954-C98DB562AFD1";"ISTE"
"0C1C21D5-2660-49F6-912B-704DE6424F59";"Rozenberg Publishers"
"0C1DDFBA-2D7D-48CB-83DE-AA79B7E234CD";"Aland-Verlag"
"0C2488BF-F384-453C-823E-0D21D600FEE1";"Lamy, Wolters Kluwer"
"0C290711-A2D5-4DB4-8CEE-9A335ADB9729";"Melusina Press"
"0C35CA16-139E-4CF3-9104-160276332DA5";"Department of Computer Science, National University of Ireland Maynooth"
"0C5ABE8E-8AAD-4285-9FD9-EEAB48A8FEC2";"Oud Consultancy"
"0C6236BB-FC1E-4738-AF9D-B7055076744D";"Dansk Tandlægeforening"
"0C624A13-BEAF-4BD2-9FFA-3272BFA65349";"The Wiley Handbook of Vocational Education and Training"
"0C6CDB4B-38E7-4250-BE0C-398F0394FD68";"Læringsforlaget"
"0C8F9FE5-CAFA-491B-BABF-56F8A07AF890";"Research Centre for Contemporary Culture"
"0CA8D4BD-745F-40F7-916D-705D9F2F550C";"American Society of Naval Engineers"
"0CAF26AA-939F-4198-AAB5-FAD46C0F3C56";"Vervuert Verlag"
"0CC1B1D7-CC1C-4E19-82BD-C47DA916E93C";"Yale University"
"0CC38E00-07D9-4D46-BD3C-D690F78E1BFE";"American Association of Petroleum Geologists (AAPG)"
"0CD10E87-B243-4DE5-95A7-0FEF4C1DF36F";"Geographica Bernensia"
"0CE243C8-18DC-4FBC-8BCA-36517AD3DCB0";"IOE  Press"
"0CEE42D0-62FE-4425-ADDE-229E8AC10B8F";"Cognitive Science Society, Inc."
"0D0871BB-75AB-4903-B4CD-FD9E42A3F6E5";"Victorian Committee of the Graduate Center"
"0D16E944-2338-431B-9A96-C8D62BECF52C";"Emil"
"0D19F199-3DC4-4C69-A9C8-CB4FA31862EE";"Gower Publishing Ltd."
"0D3C8480-1426-4C00-8EA6-7BC88DDB9413";"Philosophia"
"0D46FA00-E87B-4673-9C31-36AD87B3FDA8";"Orion Forlag"
"0D4ABF3B-5BE5-4B1A-B046-73558B702BB2";"Department of Modern Languages, Kansas State University"
"0D59CD0A-8F38-495D-857A-4703526C37B0";"Gorbachev-Foundation"
"0D713EAE-F44D-4C0C-9466-FEFD2DB97CCB";"Jessica Kingsley Publishers"
"0D723A3E-2CFA-4C89-9711-4D9ACDE8DA29";"Centre international de phonetique appliquee"
"0D88D9F4-8F48-4EEF-853C-64530F999AEF";"Global Science Press"
"0DA316BA-71AA-4CC1-BEBF-A959FB04D962";"Senter for voksenopplæring"
"0DA94535-4E66-4AF5-AF2D-D99C8EC36816";"Symposion Brutus Östlings bokförlag"
