GammelID;NyID;Type
341169;A96709A2-5B20-42F8-A4A5-00D61A1CD2A8;Tidsskrift
483884;20F7AAB4-7E21-4232-80FB-00D751BA13BB;Tidsskrift
484635;ADDB49B7-E5F4-4B9E-9190-00D9E05C7074;Tidsskrift
503926;0D910E11-6567-44A1-B984-00DA39BF11E2;Tidsskrift
494709;07F197E5-3A4C-40DA-943F-00DA400651AE;Tidsskrift
339832;1D5BED9F-BD64-4E91-A0AB-00DA5A565E5E;Tidsskrift
491643;853F7BAB-3B82-4AEE-8053-00DAECB52523;Tidsskrift
445809;93223CE1-C79B-481E-82DD-00DD49FCC2AE;Tidsskrift
451580;61163E79-9FC9-421A-99C9-00DE703615E0;Tidsskrift
468602;14E02B04-8E09-4B91-9C9A-00E18CC7379C;Serie
484266;D8D588C0-A5E7-4526-A1E7-00E2AC491C39;Tidsskrift
437518;695347E0-C86C-4C0A-AC0E-00E63B1F36FB;Tidsskrift
470983;FD2F65E9-2786-475F-8AF7-00E8F132E2DA;Tidsskrift
483630;D21BDE31-047F-4E98-808A-00EB7485D664;Tidsskrift
502506;7325AFF6-9CF5-4EC4-9C00-00ED4A125FBE;Tidsskrift
343070;EDF76ECB-6884-456F-A0B2-00EF52AF3928;Tidsskrift
489100;2032D74E-2C5D-4872-B29B-00EFF40EA7A2;Tidsskrift
448157;8E2FD255-7ACE-455B-8B7A-00F155DF0D91;Tidsskrift
447810;7F3DCD63-4F4C-464C-98EC-00F2F328A7DA;Tidsskrift
439690;3DD22FDF-6673-43AE-88CA-00F6865EEA9F;Tidsskrift
447421;131F2E55-F9D7-446D-A340-00FA8043C270;Tidsskrift
476379;915DB71E-DA0B-4D29-ACF3-00FB2A4FDBFD;Serie
484581;549CE202-A883-43F6-A468-00FBFB0B7D2C;Tidsskrift
438707;109C0384-1A9A-4443-B1C1-00FC6DC3B31A;Tidsskrift
444018;660209B3-DF16-4DF2-AF1A-00FEBCD2D693;Tidsskrift
473624;2E072259-703B-4C3E-BF99-010202E10855;Tidsskrift
487032;607806BF-B102-4E6F-903D-0102F90D7217;Tidsskrift
342684;BD49F08B-2DDA-47E7-89B4-0103325CF7BD;Tidsskrift
479633;9707D531-611A-43AB-BE16-01070282DE9E;Tidsskrift
486698;8AB6F981-0D9C-47A3-A4BF-0107575AF95A;Tidsskrift
440405;9C1CDC57-4B71-4EB2-9A81-0107CA2A8A07;Tidsskrift
476563;1161BFFC-BB27-4183-A58F-01090E989A16;Tidsskrift
343201;8BCC2BC9-E705-4839-B48D-010E61460C88;Tidsskrift
472868;4BDAC795-C280-4892-868B-010E90CD5DB4;Tidsskrift
450196;5B7E8D93-18BD-47CE-AD0D-010E9BE54AB1;Tidsskrift
451810;A4B32A99-8FB1-427E-9CC0-011172DDA1CC;Tidsskrift
494853;6302F352-FD91-40FC-9EE0-011376F5386E;Tidsskrift
498089;71657DD4-00A1-4540-9A2A-0116E65960BF;Tidsskrift
503409;86DE5894-8613-4101-9802-0119CAAB895B;Tidsskrift
500135;8F9E427F-5901-4034-9E09-011A74646908;Tidsskrift
445074;3187562D-240B-424A-9C21-011ADFE24B13;Tidsskrift
474299;AF632938-3FD0-47FF-B58A-011CE9C8F5A7;Tidsskrift
473795;2D79ECF3-AE53-4C4F-8E37-011DC0278431;Tidsskrift
483675;D115728A-FEAB-4EE0-A282-011E640397EA;Tidsskrift
439556;31056D04-BEA8-4257-BCA0-011ECF99D944;Tidsskrift
502780;9287CFB0-AFFA-4519-BF12-011F5F9CE9EA;Tidsskrift
439899;FE88F9FD-157D-4A9C-B258-011FE15A183B;Tidsskrift
485549;48947124-EFF1-4424-9830-0120E163672A;Tidsskrift
341723;3EEF815C-98E0-4BA6-A10C-0121C86E39A7;Tidsskrift
474451;10621A07-9D35-4555-AB30-01238781591F;Tidsskrift
507566;71AC45E1-C78C-4EFE-B600-01239E883BD3;Tidsskrift
450937;91E01E71-0BED-44D6-9DC3-0123FF1F9DCC;Tidsskrift
449643;763175BE-98E1-4D53-92A3-01253B16252F;Tidsskrift
446247;70677844-8701-406B-9C65-0125FD5CA501;Tidsskrift
437968;FEA5063E-2501-4DFB-94BE-0126C260B183;Tidsskrift
476423;9156E9DC-4710-47AF-9450-0127DF27D4D2;Tidsskrift
478046;D95EF2AD-4805-4A33-8D7F-012BB6234418;Tidsskrift
491509;B2F29F30-2793-47A6-A7C3-012C1C5BA12B;Tidsskrift
471901;A1908222-8602-4376-90EE-012C4752ABB6;Tidsskrift
473507;CE57D8E5-DA27-401A-BD2C-012CE4BADAC3;Tidsskrift
475544;53B355A9-37B9-43E3-A0B4-012D6F7E3CB8;Tidsskrift
501900;582944F5-2651-433D-98F7-012E523004D7;Tidsskrift
497306;DEAD02E9-D787-4D64-AF31-012EFFFABED4;Tidsskrift
450292;D507C2D5-5D0C-47F4-8318-012F92FABA82;Tidsskrift
480495;E32258D8-B45A-4F8E-BF85-0133494CFE55;Tidsskrift
470060;B9479D97-35B5-4B20-8BB2-013518FBA383;Tidsskrift
474964;83B9DDE8-5303-41E7-9300-01369606D610;Tidsskrift
439172;781552C9-DE95-40D0-8F01-013782E3CE32;Tidsskrift
473911;74B27BFB-BE78-472A-8D53-01399BAD5317;Tidsskrift
498029;B34F1E8C-143D-4364-8059-013AF4A4A127;Tidsskrift
493311;F836D898-0B77-4FBA-98B3-013BE0D72B5B;Tidsskrift
475858;84CB1F96-53BA-4C2D-BD3C-013E3ACD976C;Tidsskrift
445622;7864A6CB-6EF5-4161-B9ED-01436A14BE8C;Tidsskrift
442914;C399B827-E362-487A-90A4-0145DB7FF22F;Tidsskrift
504459;32FE4844-53C8-4247-8D03-0147B46214FD;Tidsskrift
478963;A83E2AC4-8007-4578-8637-014961DBED8A;Serie
438744;467330CA-EED3-4234-974D-014980CDA863;Tidsskrift
437360;A5A77BA7-830A-4325-8B0F-014A38D5B745;Tidsskrift
439715;3A368798-5A6E-40BC-A7F4-014A5794E92E;Tidsskrift
497900;32B5C862-5BF6-4967-B748-014B6A28857A;Tidsskrift
491231;368BA280-A61C-4ECD-9486-014C9DE279C4;Tidsskrift
504256;4A5AD970-C61A-4511-BBD9-014D61DB9C3A;Tidsskrift
444626;7E81B405-06EC-4A7C-8B39-0150B2A29169;Tidsskrift
476784;5834C87C-7C07-4821-A2F7-0150E798F601;Serie
473934;1F79E58D-58F0-4869-9299-01541F11DAB9;Tidsskrift
498245;9B27A976-5345-488C-A578-0158789D6401;Tidsskrift
441483;98FD9239-A178-4436-9CA5-0159F288BB14;Tidsskrift
444418;956E17D4-0E30-4B51-8F21-015B300C3203;Tidsskrift
440273;3B423B36-C0E8-4138-BAD2-015B8811EF3F;Tidsskrift
341296;5EB44481-C27F-41F6-BFBC-015D445561E8;Tidsskrift
449991;E18F7875-8A1B-493A-9BE4-01601E610B07;Tidsskrift
486813;3E409761-835C-4D1B-A960-01634CF2F9A7;Serie
443907;DF0BA227-F9F1-4E7F-B468-0163B4D4A12B;Tidsskrift
435971;BBDDC857-B681-42C2-B341-0163C74173F0;Tidsskrift
445867;0D8D8D5C-E5FD-46B8-B9A5-0164945168F9;Tidsskrift
471873;D5C5D976-1085-4F1E-9108-01654CF00CD6;Tidsskrift
483781;690EFB12-83C7-48D8-AC74-0167F7506F24;Tidsskrift
506977;4E43805F-9DBF-4B25-8813-016C2B2681BD;Tidsskrift
439504;CBDC6DCF-1556-4CC5-BFEB-016D9897721C;Tidsskrift
504455;45C8962A-E0D6-4C4E-9657-016FF949EEAE;Tidsskrift
477607;81A1DE03-2197-49FA-9D5A-017133F78367;Tidsskrift
440097;F6DA3036-FC4B-42D4-B613-01718C698084;Tidsskrift
489546;359643E2-B4EF-4C30-AF0A-017324181CFA;Tidsskrift
479313;BF71D7F3-31F4-440F-8AF0-017328717534;Tidsskrift
478815;88ECE2C9-B251-4F1F-B723-0173E20F2E98;Tidsskrift
472737;95A803BB-5C8D-4CBE-A8A9-017D30C6944F;Tidsskrift
480900;CAB1A1CD-B04A-4CCD-A4E6-017F998CE1FB;Tidsskrift
477602;AE02D866-ABA2-4B37-B500-0180630C32EE;Tidsskrift
442003;A3B3F674-CA17-4E80-B074-01828E875EBC;Tidsskrift
487084;158F840B-5CF4-427B-8F15-01836C3502B2;Tidsskrift
441476;DD199815-4E43-4550-8719-01875FBC3EF4;Tidsskrift
475384;0C145104-9544-4E3B-B6AB-01885DCC8920;Tidsskrift
494177;D749A94C-E516-47E9-B153-018D791E285B;Tidsskrift
499807;DA5C3B41-4A63-4EEE-97A1-018D88905B92;Tidsskrift
445303;E9F5A065-D60D-411E-832C-018FB5BE07A0;Tidsskrift
343572;814E501B-0787-4B2B-9258-01900CFC9480;Tidsskrift
341517;42C0DDDF-8346-45EC-AEBC-0191AFDCF813;Tidsskrift
415406;99B153AD-19FC-4BDB-B912-019262613E86;Tidsskrift
442097;A4C018C0-6D66-4C78-BFA2-01960FEC01D2;Tidsskrift
479840;A9274B13-1889-4B00-9D6C-019742D59585;Tidsskrift
446985;228438CF-8168-4ABE-B515-01982080AF98;Tidsskrift
443975;14E63A6A-6582-4411-A82A-019ADFBEC584;Tidsskrift
472941;81C59F43-309F-4CE2-B4FE-019BEA134B40;Tidsskrift
441931;106249FE-4D45-4F4F-8026-019C563302DB;Tidsskrift
474976;C5DDE708-7164-40F9-9CF0-019EFF17A120;Tidsskrift
443637;09184DAD-BDA0-4675-9767-019F8DDFD56C;Tidsskrift
473347;E226797B-700B-4FD3-9F83-01A0AA569AE3;Tidsskrift
489209;22842529-9007-417B-8F5E-01A11A546952;Tidsskrift
487027;7952B0EE-6DA8-4881-8B07-01A173E6EF2F;Tidsskrift
452319;329E4730-3626-4AEF-A14D-01A185F87ED2;Tidsskrift
446731;C0E3D1BA-A486-496D-B886-01A18671DD09;Tidsskrift
340941;0B16F0B7-3359-40D9-A803-01A2EB35ED5C;Tidsskrift
484575;8F1AF114-13EF-4086-B70C-01A48ED83CD6;Tidsskrift
471957;42E35914-BA20-458B-97F9-01A5AF242592;Serie
497262;DD6F619C-0B88-461D-A28F-01A61C91F0CB;Serie
479650;29F5355C-23B6-4B4B-8099-01A678A343C8;Tidsskrift
468895;411BA915-ADA3-495C-B712-01A6D812ED2C;Tidsskrift
483030;0C1E454A-6046-44C9-B45F-01A79EA2DF41;Tidsskrift
448064;EE7D07F9-E95B-4B80-A43D-01A8E026EF31;Tidsskrift
439151;8730A23C-8D90-4837-9931-01A9334E20F1;Tidsskrift
504950;180599E5-FF0E-4385-A19B-01A973CFC2C7;Tidsskrift
472973;467B2408-07E4-41ED-A6CB-01AB35EB3C6A;Tidsskrift
477097;1878DC3A-65D7-494B-86CF-01AB41349713;Tidsskrift
477446;8406DCD5-CEBB-4AE1-955A-01AB580D9095;Tidsskrift
472653;F0C744F0-CDF2-4CFE-A2BA-01ADD72AAEB9;Tidsskrift
437349;ECED4652-6101-41D4-9C5C-01B05C516351;Tidsskrift
